region,ecoregion,AT_oC_SL_s85,AT_oC_SL_s02,CHIRPS_mm_SL_s85,CHIRPS_85_120mont,CHIRPS_mm_SL_s02,CHIRPS_02_120mont,TWSrec_mm_SL_s85,TWSrec_120month,TWSrec_mm_SL_s02,GRACE_mm_SL_s02,GRACE_120month,Total.Area.Deforested_km2,Nat_85_km2,Nat_02_km2,Nat_18_km2,Area.Region_km2,pp_nat_reg_18,Ant_1985_km2,Ant_2002_km2,Ant_18_km2,CR_2018,Clas_ant.nat.2018,CR_ant2018.nat2002,Clas_ant2018.nat.2002,CR_ant2018.nat1985,Clas_ant2018.nat.1985,AT_trend_s85,AT_trend_s02,CHIRPS_trend_s85,CHIRPS_trend_s02,ERA5_trend_s85,ERA5_trend_s02,TWSrec_trend_s85,TWSrec_trend_s02,GRACE_trend_s02
NOR04,Dry Forest,0.001849871,0.002401772,-0.011539861,-1.38478332,-0.02598315,-3.117978,-0.347775966,-41.73311592,-0.572381339,-0.777505731,-93.30068772,33132,244419,224215,211288,329449,0.641337506,77204,97128,110531,0.523143529,Anthropized,0.492981959,Changing,0.452231414,Changing,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend,(-)_trend,(-)_trend
NOR05,Dry Forest,0.002583209,0.005636908,-0.009914943,-1.18979316,-0.049950761,-5.99409132,-0.549126606,-65.89519272,-0.832453222,-0.972537617,-116.704514,28727,185576,169039,156849,305542,0.513346774,113971,127688,136036,0.915951648,Anthropized,0.849899136,Anthropized,0.774163146,Anthropized,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
NOR06,Moist Forest,0.001522092,0.003197328,-0.017058462,-2.04701544,-0.085798237,-10.29578844,-0.364848239,-43.78178868,-1.011546,-0.697988986,-83.75867832,350,119252,115651,118903,319978,0.371597422,188121,186767,177801,1.595379091,Anthropized,1.640239687,Anthropized,1.590710093,Anthropized,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
NOR07,Dry Forest,0.001113861,0.00203053,-0.020715383,-2.48584596,-0.026302083,-3.15624996,-0.140265009,-16.83180108,-0.450763921,-0.665377852,-79.84534224,13842,131624,117831,117783,253249,0.46508772,117198,130752,129617,1.115403242,Anthropized,1.114948867,Anthropized,0.99811235,Anthropized,(+)_trend,(+)_trend,(-)_trend,no_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
ORN01,Moist Forest,0.000674993,0.000832718,0.011369517,1.36434204,-0.106253807,-12.75045684,0.322296129,38.67553548,0.144264535,0.123046882,14.76562584,1673,320533,319310,318859,326743,0.975870944,3072,3640,3847,0.012064894,Native,0.012047853,Native,0.012001884,Native,(+)_trend,no_trend,no_trend,no_trend,(+)_trend,no_trend,(+)_trend,no_trend,no_trend
ORN02,Moist Forest,0.000996158,0.001500199,-0.006115573,-0.73386876,-0.200680261,-24.08163132,0.445510538,53.46126456,0.341427083,0.033638631,4.03663572,9734,338985,332472,329251,355128,0.927133315,7688,13641,16820,0.051085646,Native,0.050590726,Native,0.049618715,Native,(+)_trend,(+)_trend,no_trend,(-)_trend,(+)_trend,no_trend,(+)_trend,no_trend,no_trend
ORN03,Moist Forest,0.0014061,0.002601571,0.031274029,3.75288348,-0.14394057,-17.2728684,-0.021974157,-2.63689884,-0.106846592,-0.228029378,-27.36352536,8486,262155,257888,253669,270218,0.938756856,3619,7820,12007,0.047333336,Native,0.046558971,Native,0.045801148,Native,(+)_trend,(+)_trend,no_trend,(-)_trend,no_trend,no_trend,no_trend,(-)_trend,(-)_trend
PMP01,Grasslands & Savannas,0.00123871,0.000174497,0.049219786,5.90637432,-0.019615012,-2.35380144,-0.220649503,-26.47794036,-0.512338022,-0.404354208,-48.52250496,13569, NA ,188181,181506,355273,0.510891624,NA,143337,141257,0.870783721,Anthropized,0.839896004,Anthropized,0.839896004,Anthropized,(+)_trend,no_trend,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
PMP02,Grasslands & Savannas,0.002001533,0.002104293,0.019705849,2.36470188,0.009925334,1.19104008,-0.443917556,-53.27010672,-1.535551799,-0.845718818,-101.4862582,23010, NA ,172127,158384,377220,0.419871693,NA,198493,212064,1.344090691,Anthropized,1.23677552,Anthropized,1.23677552,Anthropized,(+)_trend,no_trend,no_trend,no_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
PRT01,Dry Forest,0.002164174,-0.000254556,0.000557047,0.06684564,0.020192897,2.42314764,-0.185894004,-22.30728048,0.585467262,-0.106885493,-12.82625916,30260,168471,144870,138211,225696,0.612376825,45128,72871,80268,0.585341688,Anthropized,0.558436253,Anthropized,0.480205258,Changing,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(+)_trend,(-)_trend,(+)_trend,no_trend
PRT02,Dry Forest,0.0024066,-0.001300678,0.029506382,3.54076584,0.112183005,13.4619606,-0.213746164,-25.64953968,0.532292393,0.37627584,45.1531008,29450,125842,102944,96393,250450,0.384879217,116289,144538,146438,1.574387663,Anthropized,1.474199079,Anthropized,1.205956279,Anthropized,(+)_trend,no_trend,no_trend,(+)_trend,(-)_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
PRT03,Dry Forest,0.002123962,0.002604513,0.003567218,0.42806616,0.012799464,1.53593568,-0.599424409,-71.93092908,-0.093729869,-0.349293539,-41.91522468,15114,91995,78470,76882,366020,0.210048631,261816,274474,272441,3.603467131,Anthropized,3.530543647,Anthropized,3.011487146,Anthropized,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,no_trend,(-)_trend,no_trend,(-)_trend
PRT04,Moist Forest,0.001669757,0.000638955,0.022707621,2.72491452,0.119635403,14.35624836,-0.227620216,-27.31442592,0.580151493,0.494832352,59.37988224,7856,94384,83079,86528,397462,0.217701315,283396,286034,271810,3.370644647,Anthropized,3.510575958,Anthropized,3.090090905,Anthropized,(+)_trend,no_trend,no_trend,no_trend,no_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
PRT05,Moist Forest,0.000984354,-0.000225453,0.04617576,5.5410912,0.137162775,16.459533,-0.080355137,-9.64261644,0.189890939,0.156849838,18.82198056,27832,226965,218385,199133,392113,0.507845953,145028,148944,156279,0.869852862,Anthropized,0.793169906,Anthropized,0.763185557,Anthropized,(+)_trend,no_trend,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
TOC01,Moist Forest,0.002122951,0.002047285,0.020251602,2.43019224,0.055787689,6.69452268,-0.351459086,-42.17509032,-0.470308778,0.154894564,18.58734768,58645,240567,206317,181922,280227,0.649195117,29206,63207,87488,0.481741131,Changing,0.424779878,Changing,0.364303126,Changing,(+)_trend,(+)_trend,no_trend,no_trend,no_trend,no_trend,(-)_trend,(-)_trend,no_trend
TOC02,Dry Forest,0.002390622,0.002490723,-0.013913617,-1.66963404,0.000661952,0.07943424,-0.599936302,-71.99235624,-0.440239467,-0.295178333,-35.42139996,63388,271204,230878,207816,322519,0.644352736,47227,87095,109713,0.528943296,Anthropized,0.476108074,Changing,0.405314376,Changing,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
TOC03,Dry Forest,0.002596548,0.00323773,-0.005132426,-0.61589112,0.020281982,2.43383784,-0.633625642,-76.03507704,-0.117748917,-0.510110496,-61.21325952,56004,248650,211196,192647,369347,0.5215881,117240,154112,172183,0.895531776,Anthropized,0.816878681,Anthropized,0.693832737,Anthropized,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,no_trend,(-)_trend,no_trend,(-)_trend
