date,region,AirTemp_des_oC,CHIRPSdes_mm,TWSrec_mm,GRACEdes_mm
01/01/1985,Reg_AMZ01,24.662947,232.3545905,94.53796813,
01/02/1985,Reg_AMZ01,24.9877749,191.7403944,72.41869715,
01/03/1985,Reg_AMZ01,25.434747,154.2796177,40.44584827,
01/04/1985,Reg_AMZ01,25.6668606,94.80539519,-27.76601302,
01/05/1985,Reg_AMZ01,24.9219086,266.9219251,-42.85187039,
01/06/1985,Reg_AMZ01,24.6542757,236.9825616,-7.414046215,
01/07/1985,Reg_AMZ01,24.6544526,218.6889776,10.23815158,
01/08/1985,Reg_AMZ01,24.2090576,244.8879216,49.74522021,
01/09/1985,Reg_AMZ01,23.974841,201.1526854,73.77409109,
01/10/1985,Reg_AMZ01,24.6507573,211.9018389,67.18847533,
01/11/1985,Reg_AMZ01,24.0492919,246.9135769,74.04438798,
01/12/1985,Reg_AMZ01,23.6248263,301.3429324,135.67281,
01/01/1986,Reg_AMZ01,24.5140906,202.7715628,143.7271572,
01/02/1986,Reg_AMZ01,24.9243038,144.8735547,137.4946885,
01/03/1986,Reg_AMZ01,25.0817213,129.7939625,135.1719809,
01/04/1986,Reg_AMZ01,25.5203137,120.0895689,84.88086512,
01/05/1986,Reg_AMZ01,25.2978861,183.1034354,41.54682115,
01/06/1986,Reg_AMZ01,24.5972684,273.3277528,68.69253585,
01/07/1986,Reg_AMZ01,25.0048319,163.1114291,85.85463289,
01/08/1986,Reg_AMZ01,25.4272094,162.0466125,53.48303415,
01/09/1986,Reg_AMZ01,25.1882386,209.4523628,39.29363265,
01/10/1986,Reg_AMZ01,25.0890192,208.4220012,36.76603203,
01/11/1986,Reg_AMZ01,24.1157025,235.33339,50.2784507,
01/12/1986,Reg_AMZ01,24.5938777,200.2366508,71.01364119,
01/01/1987,Reg_AMZ01,24.9507719,188.8697777,64.91271059,
01/02/1987,Reg_AMZ01,25.8409456,108.4856426,20.84989834,
01/03/1987,Reg_AMZ01,26.1731154,62.02908355,-20.76420422,
01/04/1987,Reg_AMZ01,25.7024973,188.2348056,-67.07261908,
01/05/1987,Reg_AMZ01,26.0203379,136.7438406,-67.00460475,
01/06/1987,Reg_AMZ01,26.0341765,163.7273453,-124.6987373,
01/07/1987,Reg_AMZ01,26.1315321,186.0191905,-138.0165146,
01/08/1987,Reg_AMZ01,26.2996916,176.3498913,-143.7227858,
01/09/1987,Reg_AMZ01,26.0265634,208.2708764,-135.1021234,
01/10/1987,Reg_AMZ01,26.2607225,186.9283436,-113.4705628,
01/11/1987,Reg_AMZ01,26.4940789,162.7563358,-112.8727068,
01/12/1987,Reg_AMZ01,26.7101727,175.3580693,-138.7990865,
01/01/1988,Reg_AMZ01,25.9412846,208.995582,-147.7058267,
01/02/1988,Reg_AMZ01,25.9818283,199.5472715,-125.2220997,
01/03/1988,Reg_AMZ01,26.1368661,116.3374021,-154.2343287,
01/04/1988,Reg_AMZ01,26.0641793,150.2661586,-190.9502348,
01/05/1988,Reg_AMZ01,25.3590868,368.5534478,-173.509105,
01/06/1988,Reg_AMZ01,25.2648246,307.176639,-114.5967642,
01/07/1988,Reg_AMZ01,25.1296781,248.4309313,-57.92669079,
01/08/1988,Reg_AMZ01,25.4834166,214.5753975,-44.67918518,
01/09/1988,Reg_AMZ01,24.7379396,231.4920225,-16.26538912,
01/10/1988,Reg_AMZ01,24.7484831,202.7119815,2.269757966,
01/11/1988,Reg_AMZ01,24.9886837,235.256979,0.597410249,
01/12/1988,Reg_AMZ01,23.8978837,284.5025036,48.4670461,
01/01/1989,Reg_AMZ01,24.4487539,287.0863192,96.87192134,
01/02/1989,Reg_AMZ01,24.7683294,242.5881484,129.5531679,
01/03/1989,Reg_AMZ01,24.7335853,288.1370424,144.0411793,
