region,date,TWSrec_mm
AMZ01,15/11/1996,21.41037406
AMZ01,15/12/1996,12.09577911
AMZ01,15/01/1997,6.439094065
AMZ01,15/02/1997,31.7408885
AMZ01,15/03/1997,20.50411844
AMZ01,15/04/1997,-8.263716373
AMZ01,15/05/1997,-21.97347939
AMZ01,15/06/1997,-78.99625422
AMZ01,15/07/1997,-119.4100544
AMZ01,15/08/1997,-124.2759673
AMZ01,15/09/1997,-119.7082986
AMZ01,15/10/1997,-125.6785784
AMZ01,15/11/1997,-132.4626305
AMZ01,15/12/1997,-136.9273892
AMZ01,15/01/1998,-171.218217
AMZ01,15/02/1998,-225.685421
AMZ01,15/03/1998,-255.7659575
AMZ01,15/04/1998,-255.6233355
AMZ01,15/05/1998,-271.6304812
AMZ01,15/06/1998,-285.5970668
AMZ01,15/07/1998,-272.1706245
AMZ01,15/08/1998,-256.1620614
AMZ01,15/09/1998,-229.2628798
AMZ01,15/10/1998,-196.481568
AMZ01,15/11/1998,-157.386289
AMZ01,15/12/1998,-138.3582132
AMZ01,15/01/1999,-80.68622656
AMZ01,15/02/1999,-33.53148116
AMZ01,15/03/1999,-5.915726374
AMZ01,15/04/1999,42.21929388
AMZ01,15/05/1999,68.18890773
AMZ01,15/06/1999,124.8817069
AMZ01,15/07/1999,126.7119245
AMZ01,15/08/1999,146.6659009
AMZ01,15/09/1999,154.2233098
AMZ01,15/10/1999,166.6928672
AMZ01,15/11/1999,133.4485114
AMZ01,15/12/1999,103.1046234
AMZ01,15/01/2000,169.3591234
AMZ01,15/02/2000,190.6130556
AMZ01,15/03/2000,212.6830272
AMZ01,15/04/2000,278.5145535
AMZ01,15/05/2000,322.8045635
AMZ01,15/06/2000,288.1693375
AMZ01,15/07/2000,268.3085473
AMZ01,15/08/2000,257.9984066
AMZ01,15/09/2000,224.6938738
AMZ01,15/10/2000,209.6498484
AMZ01,15/11/2000,171.144138
AMZ01,15/12/2000,137.4351446
AMZ01,15/01/2001,143.2543045
AMZ01,15/02/2001,149.6197879
AMZ01,15/03/2001,118.4256504
AMZ01,15/04/2001,133.1481395
AMZ01,15/05/2001,111.6885824
AMZ01,15/06/2001,102.0425342
AMZ01,15/07/2001,117.0489148
AMZ01,15/08/2001,105.624203
AMZ01,15/09/2001,107.267265
AMZ01,15/10/2001,96.03262727
AMZ01,15/11/2001,80.64407607
AMZ01,15/12/2001,40.7077322
AMZ01,15/01/2002,13.00674896
AMZ01,15/02/2002,13.11904662
AMZ01,15/03/2002,33.94496294
AMZ01,15/04/2002,67.35184661
AMZ01,15/05/2002,50.4484967
AMZ01,15/06/2002,60.79797857
AMZ01,15/07/2002,45.0757646
AMZ01,15/08/2002,24.3598799
AMZ01,15/09/2002,9.16253015
AMZ01,15/10/2002,-4.984117725
AMZ01,15/11/2002,-8.853477254
AMZ01,15/12/2002,-4.446925655
AMZ01,15/01/2003,-49.67408906
AMZ01,15/02/2003,-69.99535241
AMZ01,15/03/2003,-84.51498987
AMZ01,15/04/2003,-77.00708567
AMZ01,15/05/2003,-28.23409165
AMZ01,15/06/2003,-26.08859598
AMZ01,15/07/2003,-24.32835061
AMZ01,15/08/2003,-16.71186313
AMZ01,15/09/2003,-1.090029269
AMZ01,15/10/2003,11.05969246
AMZ01,15/11/2003,18.06188171
AMZ01,15/12/2003,-3.970540281
AMZ01,15/01/2004,-27.5579112
AMZ01,15/02/2004,-54.64094139
AMZ01,15/03/2004,12.12834075
AMZ01,15/04/2004,55.0370673
AMZ01,15/05/2004,87.87093379
AMZ01,15/06/2004,61.02260848
AMZ01,15/07/2004,57.41001375
AMZ01,15/08/2004,66.84952509
AMZ01,15/09/2004,69.99154591
